bigg,metacyc,class,name,mmol/gDWbiomass
10fthf,FORMYL-THF-GLU-N,Cofactors,,0.00022
pheme,,Cofactors,Protoheme,0.00022
nadh,,Cofactors,,0.002
nadph,,Cofactors,,0.001
nad,,Cofactors,,-0.002
nadp,,Cofactors,,-0.001
h,,Cofactors,,-0.003
datp,DATP,DNA,dATP,0.0021
dctp,DCTP,DNA,dCTP,0.002
dgtp,DGTP,DNA,dGTP,0.002
dttp,TTP,DNA,dTTP,0.0021
ttdca,CPD-7836,FAME,C14:0(myristate),0.0459
hdca,PALMITATE,FAME,C16:0(palmitate),0.1355
ocdca,STEARIC_ACID,FAME,C18:0(stearate),0.1526
2pg,2-PG,Intracellular_Metabolites,Phosphoglycerate,0.006
accoa,ACETYL-COA,Intracellular_Metabolites,Acetyl-CoA,0.0001
cit,CIT,Intracellular_Metabolites,Citrate,0.001
6pgc,CPD-2961,Intracellular_Metabolites,D-gluconate 6-phosphate,0.00015
g6p,D-glucopyranose-6-phosphate,Intracellular_Metabolites,Glucose-6-phosphate,0.002
fdp_B,FRUCTOSE-16-DIPHOSPHATE,Intracellular_Metabolites,Fructose-16-bisphosphate,0.001
f6p_B,FRUCTOSE-6P,Intracellular_Metabolites,Fructose-6-phosphate,0.003
fum,FUM,Intracellular_Metabolites,Fumarate,0.001
g3p,GAP,Intracellular_Metabolites,Glyceraldehyde-3-phosphate/Dihydroxyacetone,0.003
mal__L,MAL,Intracellular_Metabolites,Malate,0.004
pep,PHOSPHO-ENOL-PYRUVATE,Intracellular_Metabolites,Phosphoenolpyruvate,0.005
ppi,PPI,Intracellular_Metabolites,polyP(PPi),0.029
pyr,PYRUVATE,Intracellular_Metabolites,Pyruvate,0.015
ru5p__D,RIBULOSE-5P,Intracellular_Metabolites,Ribulose-5-phosphate/Ribose-5-phosphate,0.001
succ,SUC,Intracellular_Metabolites,Succinate,0.002
pg180,CPD-12822,Phospholipids,"phosphatidylglycerol(dioctadecanoyl,n-C18:0)",0.0268
pg160,CPD-8260,Phospholipids,"phosphatidylglycerol(dihexadecanoyl,n-C16:0)",0.0238
pg140,CPD-19677,Phospholipids,"phosphatidylglycerol (ditetradecanoyl, n-C14:0)",0.0081
ps180,CPD-12816,Phospholipids,"phosphatidylserine (dioctadecanoyl, n-C18:0)",0.00091
ps160,CPD-12817,Phospholipids,"phosphatidylserine (dihexadecanoyl, n-C16:0)",0.000808
ps140,CPD-18401,Phospholipids,"phosphatidylserine (1,2-dimyristoyl)",0.000274
pe180,CPD-12818,Phospholipids,"phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",0.0391
pe160,CPD-12819,Phospholipids,"phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",0.0347
pe140,CPD-17087,Phospholipids,"phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",0.0118
clpn180,clpn180,Phospholipids,"cardiolipin (tetraoctadecanoyl, n-C18:0)",0.027
clpn160,CPD-12824,Phospholipids,"cardiolipin (tetrahexadecanoyl, n-C16:0)",0.0239
clpn140,CPD-19676,Phospholipids,"cardiolipin (tetratetradecanoyl, n-C14:0)",0.0081
atp,ATP,RNA,ATP,0.05
ctp,CTP,RNA,CTP,0.047
gtp,GTP,RNA,GTP,0.047
utp,UTP,RNA,UTP,0.05
thymol,CPD-14517,Sterols,tetrahymanol,0.041
abhptriol,CPD-14521,Sterols,aminotriol(III)65%ofBHP,0.008
sql,SQUALENE,Sterols,squalene,0.04
GAM,,,growth associated maintenance (mmol ATP gcel-1 h-1) (sd 1.0564),10.86
